transmission_line_id,transmission_line_id_source,transmission_circuit_id,transmission_circuit_id_source,owner,owner_source,province,province_source,operating_region,operating_region_source,number_of_circuits,number_of_circuits_source,current_type,current_type_source,line_segment_length_km,line_segment_length_km_source,line_segment_length_mi,line_segment_length_mi_source,line_length_km,line_length_km_source,line_length_mi,line_length_mi_source,voltage,voltage_source,Transmission_Line_Reactance,Transmission_Line_Reactance_source,Transmission_Line_Segment_Reactance,Transmission_Line_Segment_Reactance_source,ttc_summer,ttc_summer_source,ttc_winter,ttc_winter_source,network_node_name_starting,network_node_name_starting_source,network_node_code_starting,network_node_code_starting_source,network_node_name_ending,network_node_name_ending_source,network_node_code_ending,network_node_code_ending_source,notes,notes_source
34649,API,CD11,API,Cedar Rapids Transmission Co. Ltd.,API,QC,API,Quebec,API,1,API,ac,API,31.700,API,19.568,API,43.070,API,26.586,API,230,API,20.67,API,15.22,API,325,API,325,API,Boundary Road TS JCT,API,ON_BDY_JCT,API,IPT Dennison 1,API,ON_ONQC01_IPT,API,"Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV",API
34650,API,CD11,API,Cedar Rapids Transmission Co. Ltd.,API,QC,API,Quebec,API,1,API,ac,API,0.050,API,0.031,API,43.070,API,26.586,API,230,API,20.67,API,0.02,API,325,API,325,API,Boundary Road TS JCT,API,ON_BDY_JCT,API,Boundary Road TS,API,ON_BDY_DSS,API,"Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV",API
34651,API,CD11,API,Cedar Rapids Transmission Co. Ltd.,API,QC,API,Quebec,API,1,API,ac,API,6.700,API,4.136,API,43.070,API,26.586,API,230,API,20.67,API,3.22,API,325,API,325,API,Boundary Road TS JCT,API,ON_BDY_JCT,API,Cornwall TS JCT,API,ON_CWL_JCT,API,"Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV",API
34652,API,CD11,API,Cedar Rapids Transmission Co. Ltd.,API,QC,API,Quebec,API,1,API,ac,API,0.620,API,0.383,API,43.070,API,26.586,API,230,API,20.67,API,0.30,API,325,API,325,API,Cornwall TS JCT,API,ON_CWL_JCT,API,Cornwall TS,API,ON_CWL_DSS,API,"Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV",API
34653,API,CD11,API,Cedar Rapids Transmission Co. Ltd.,API,QC,API,Quebec,API,1,API,ac,API,4.000,API,2.469,API,43.070,API,26.586,API,230,API,20.67,API,1.92,API,325,API,325,API,Cornwall TS JCT,API,ON_CWL_JCT,API,INT Cornwall Massena 1,API,ON_ONUS14_INT,API,"Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV",API
34654,API,CD22,API,Cedar Rapids Transmission Co. Ltd.,API,QC,API,Quebec,API,1,API,ac,API,31.700,API,19.568,API,43.070,API,26.586,API,230,API,20.67,API,15.22,API,325,API,325,API,Boundary Road TS JCT,API,ON_BDY_JCT,API,IPT Dennison 2,API,ON_ONQC02_IPT,API,"Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV",API
34655,API,CD22,API,Cedar Rapids Transmission Co. Ltd.,API,QC,API,Quebec,API,1,API,ac,API,0.050,API,0.031,API,43.070,API,26.586,API,230,API,20.67,API,0.02,API,325,API,325,API,Boundary Road TS JCT,API,ON_BDY_JCT,API,Boundary Road TS,API,ON_BDY_DSS,API,"Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV",API
34656,API,CD22,API,Cedar Rapids Transmission Co. Ltd.,API,QC,API,Quebec,API,1,API,ac,API,6.700,API,4.136,API,43.070,API,26.586,API,230,API,20.67,API,3.22,API,325,API,325,API,Boundary Road TS JCT,API,ON_BDY_JCT,API,Cornwall TS JCT,API,ON_CWL_JCT,API,"Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV",API
34657,API,CD22,API,Cedar Rapids Transmission Co. Ltd.,API,QC,API,Quebec,API,1,API,ac,API,0.620,API,0.383,API,43.070,API,26.586,API,230,API,20.67,API,0.30,API,325,API,325,API,Cornwall TS JCT,API,ON_CWL_JCT,API,Cornwall TS,API,ON_CWL_DSS,API,"Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV",API
34658,API,CD22,API,Cedar Rapids Transmission Co. Ltd.,API,QC,API,Quebec,API,1,API,ac,API,4.000,API,2.469,API,43.070,API,26.586,API,230,API,20.67,API,1.92,API,325,API,325,API,Cornwall TS JCT,API,ON_CWL_JCT,API,INT Cornwall Massena 2,API,ON_ONUS15_INT,API,"Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV",API
36501,API,A41T,API,Hydro-Qu̩bec Transmission,API,QC,API,Quebec,API,1,API,ac,API,13.700,API,8.457,API,13.700,API,8.457,API,230,API,6.58,API,6.58,API,402,API,435,API,Outaouais,API,QC_OUT_TSS,API,IPT Outaouais 2,API,QC_ONQC06_IPT,API,NULL,API
36502,API,A42T,API,Hydro-Qu̩bec Transmission,API,QC,API,Quebec,API,1,API,ac,API,13.700,API,8.457,API,13.700,API,8.457,API,230,API,6.58,API,6.58,API,402,API,435,API,Outaouais,API,QC_OUT_TSS,API,IPT Outaouais 1,API,QC_ONQC05_IPT,API,NULL,API
36503,API,CD11,API,Cedar Rapids Transmission Co. Ltd.,API,QC,API,Quebec,API,1,API,ac,API,18.700,API,11.543,API,29.600,API,18.272,API,120,API,12.45,API,7.87,API,0,API,0,API,Les C̬dres,API,QC_LCS_GSS,API,Saint-Polycarpe JCT,API,QC_SPL_JCT,API,"Provides electricity to Cornwall, Ontario before exporting to New York State; CD11/CD22 total transfer capacity = 325 MW",API
36504,API,CD11,API,Cedar Rapids Transmission Co. Ltd.,API,QC,API,Quebec,API,1,API,ac,API,10.900,API,6.728,API,29.600,API,18.272,API,230,API,14.21,API,5.23,API,0,API,0,API,Saint-Polycarpe JCT,API,QC_SPL_JCT,API,IPT Dennison 1,API,QC_ONQC01_IPT,API,"Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV",API
36505,API,CD22,API,Cedar Rapids Transmission Co. Ltd.,API,QC,API,Quebec,API,1,API,ac,API,18.700,API,11.543,API,29.600,API,18.272,API,120,API,12.45,API,7.87,API,325,API,325,API,Les C̬dres,API,QC_LCS_GSS,API,Saint-Polycarpe JCT,API,QC_SPL_JCT,API,"Provides electricity to Cornwall, Ontario before exporting to New York State; CD11/CD22 total transfer capacity = 325 MW",API
36506,API,CD22,API,Cedar Rapids Transmission Co. Ltd.,API,QC,API,Quebec,API,1,API,ac,API,10.900,API,6.728,API,29.600,API,18.272,API,230,API,14.21,API,5.23,API,325,API,325,API,Saint-Polycarpe JCT,API,QC_SPL_JCT,API,IPT Dennison 2,API,QC_ONQC02_IPT,API,"Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV",API
36507,API,D4Z,API,Hydro-Qu̩bec Transmission,API,QC,API,Quebec,API,1,API,ac,API,16.100,API,9.938,API,16.100,API,9.938,API,120,API,6.77,API,6.77,API,107,API,118,API,Rapides-des-Iles,API,QC_RPI_GSS,API,IPT Dymond,API,QC_ONQC13_IPT,API,NULL,API
36508,API,D5A,API,Brookfield Renewable Energy,API,QC,API,Quebec,API,1,API,ac,API,2.750,API,1.698,API,2.750,API,1.698,API,230,API,1.32,API,1.32,API,402,API,435,API,Masson-Sud,API,QC_MSS_DSS,API,IPT Masson 1,API,QC_ONQC07_IPT,API,NULL,API
36509,API,H4Z,API,Hydro-Qu̩bec Transmission,API,QC,API,Quebec,API,1,API,ac,API,49.100,API,30.309,API,49.100,API,30.309,API,120,API,20.66,API,20.66,API,107,API,118,API,Kipawa,API,QC_KIP_DSS,API,IPT Kipawa,API,QC_ONQC12_IPT,API,NULL,API
36510,API,H9A,API,Brookfield Renewable Energy,API,QC,API,Quebec,API,1,API,ac,API,2.750,API,1.698,API,2.750,API,1.698,API,120,API,1.16,API,1.16,API,107,API,118,API,Masson-Sud,API,QC_MSS_DSS,API,IPT Masson 2,API,QC_ONQC08_IPT,API,NULL,API
36511,API,HF1-HF2,API,Brookfield Renewable Energy,API,QC,API,Quebec,API,1,API,ac,API,39.200,API,24.198,API,39.200,API,24.198,API,120,API,16.49,API,16.49,API,107,API,118,API,High Falls,API,QC_HIF_GSS,API,Masson-Nord,API,QC_MSN_DSS,API,NULL,API
36512,API,L10,API,Soci̩t̩ en Commandite Hydro̩lectrique Manicouagan,API,QC,API,Quebec,API,1,API,ac,API,15.800,API,9.753,API,15.800,API,9.753,API,120,API,6.65,API,6.65,API,107,API,118,API,Manic-1,API,QC_MC1_GSS,API,Alcoa Baie Comeau,API,QC_ALBC_ISS,API,Also called L9647,API
36513,API,L11,API,Soci̩t̩ en Commandite Hydro̩lectrique Manicouagan,API,QC,API,Quebec,API,1,API,ac,API,15.800,API,9.753,API,15.800,API,9.753,API,120,API,6.65,API,6.65,API,107,API,118,API,Manic-1,API,QC_MC1_GSS,API,Alcoa Baie Comeau,API,QC_ALBC_ISS,API,Also called L9647,API
36514,API,L1100,API,Hydro-Qu̩bec Transmission,API,QC,API,Quebec,API,1,API,ac,API,36.200,API,22.346,API,69.400,API,42.840,API,120,API,29.20,API,15.23,API,107,API,118,API,Gracefield JCT,API,QC_GRC_JCT,API,Paugan,API,QC_PAU_GSS,API,NULL,API
36515,API,L1100,API,Hydro-Qu̩bec Transmission,API,QC,API,Quebec,API,1,API,ac,API,33.200,API,20.494,API,69.400,API,42.840,API,120,API,29.20,API,13.97,API,107,API,118,API,Maniwaki,API,QC_MNI_DSS,API,Gracefield JCT,API,QC_GRC_JCT,API,NULL,API
36516,API,L1100D1,API,Hydro-Qu̩bec Transmission,API,QC,API,Quebec,API,1,API,ac,API,5.500,API,3.395,API,5.500,API,3.395,API,120,API,2.31,API,2.31,API,107,API,118,API,Gracefield JCT,API,QC_GRC_JCT,API,Gracefield,API,QC_GRC_DSS,API,Circuit ID assumed,API
36517,API,L1101,API,Hydro-Qu̩bec Transmission,API,QC,API,Quebec,API,1,API,ac,API,13.600,API,8.395,API,60.400,API,37.284,API,120,API,25.41,API,5.72,API,107,API,118,API,Buckingham JCT,API,QC_BUC_JCT,API,Thurso,API,QC_THU_DSS,API,NULL,API
36518,API,L1101,API,Hydro-Qu̩bec Transmission,API,QC,API,Quebec,API,1,API,ac,API,3.100,API,1.914,API,60.400,API,37.284,API,120,API,25.41,API,1.30,API,107,API,118,API,Erco Mondial Buckingham JCT,API,QC_ERC_JCT,API,Interconnexion-Maclaren,API,QC_INM_SWS,API,NULL,API
36519,API,L1101,API,Hydro-Qu̩bec Transmission,API,QC,API,Quebec,API,1,API,ac,API,22.800,API,14.074,API,60.400,API,37.284,API,120,API,25.41,API,9.59,API,107,API,118,API,FPS Canada Inc.,API,QC_FPS_ISS,API,Petite-Nation,API,QC_PTN_TSS,API,NULL,API
36520,API,L1101,API,Hydro-Qu̩bec Transmission,API,QC,API,Quebec,API,1,API,ac,API,6.800,API,4.198,API,60.400,API,37.284,API,120,API,25.41,API,2.86,API,107,API,118,API,Gatineau,API,QC_GAT_DSS,API,Templeton,API,QC_TMP_DSS,API,NULL,API
36521,API,L1101,API,Hydro-Qu̩bec Transmission,API,QC,API,Quebec,API,1,API,ac,API,2.000,API,1.235,API,60.400,API,37.284,API,120,API,25.41,API,0.84,API,107,API,118,API,Interconnexion-Maclaren,API,QC_INM_SWS,API,Buckingham JCT,API,QC_BUC_JCT,API,NULL,API
36522,API,L1101,API,Hydro-Qu̩bec Transmission,API,QC,API,Quebec,API,1,API,ac,API,10.600,API,6.543,API,60.400,API,37.284,API,120,API,25.41,API,4.46,API,107,API,118,API,Templeton,API,QC_TMP_DSS,API,Erco Mondial Buckingham JCT,API,QC_ERC_JCT,API,NULL,API
