node_name,node_name_source,node_code,node_code_source,node_type,node_type_source,owner,owner_source,latitude,latitude_source,longitude,longitude_source,elevation,elevation_source,province,province_source,operating_region,operating_region_source,copper_balancing_area,copper_balancing_area_source,notes,notes_source
"Bullseye 1004S","13","AB_1004S_GSS","N/A","Generation","N/A","ATCO Electric Ltd.","6","51.180979","62","-110.260055","62","737","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Dunmore 1011S","13","AB_1011S_GSS","N/A","Generation","N/A","Altalink Management Ltd.","6","50.033284","62","-110.480364","62","758","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Dunmore 1011S JCT","13","AB_1011S_JCT","N/A","Junction","N/A","Altalink Management Ltd.","6","50.033326","62","-110.482743","62","758","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Deer Hill 1012S","13","AB_1012S_DSS","N/A","Distribution","N/A","Altalink Management Ltd.","6","53.806344","62","-116.619471","62","1086","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Shamrock 1018S","13","AB_1018S_DSS","N/A","Distribution","N/A","Altalink Management Ltd.","6","49.650996","62","-111.291014","62","853","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Woolchester 1019S","13","AB_1019S_GSS","N/A","Generation","N/A","Altalink Management Ltd.","6","49.841247","62","-110.521769","62","917","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Woolchester 1019S JCT","13","AB_1019S_JCT","N/A","Junction","N/A","Altalink Management Ltd.","6","49.841337","62","-110.523416","62","917","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Cheviot 101S","13","AB_101S_DSS","N/A","Distribution","N/A","Altalink Management Ltd.","6","53.086399","62","-117.437862","62","1617","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Granlea 1024S","13","AB_1024S_GSS","N/A","Generation","N/A","Altalink Management Ltd.","6","49.690536","62","-111.128050","62","799","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Vista 1029S","13","AB_1029S_DSS","N/A","Distribution","N/A","Altalink Management Ltd.","6","53.364501","62","-117.341570","62","1236","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Langdon 102S","13","AB_102S_DSS","N/A","Distribution","N/A","Altalink Management Ltd.","6","50.959340","62","-113.719784","62","1013","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Margie 1034S","13","AB_1034S_ISS","N/A","Industrial","N/A","Altalink Management Ltd.","6","55.460078","62","-111.224915","62","700","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Margie 1034S JCT","13","AB_1034S_JCT","N/A","Junction","N/A","Altalink Management Ltd.","6","55.350424","62","-111.234209","62","669","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Wheatcrest 1039S","13","AB_1039S_GSS","N/A","Generation","N/A","Altalink Management Ltd.","6","50.272095","62","-112.400312","62","795","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Wheatcrest 1039S JCT","13","AB_1039S_JCT","N/A","Junction","N/A","Altalink Management Ltd.","6","50.280837","62","-112.398537","62","800","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Goose Lake 103S","13","AB_103S_DSS","N/A","Distribution","N/A","Altalink Management Ltd.","6","49.515549","62","-113.923193","62","1111","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Garden Plain 1045S","13","AB_1045S_GSS","N/A","Generation","N/A","ATCO Electric Ltd.","6","51.975318","62","-111.836553","62","822","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Garden Plain 1045S  JCT","13","AB_1045S_JCT","N/A","Junction","N/A","ATCO Electric Ltd.","6","51.974039","62","-111.837624","62","826","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Whisky Jack 1047S","13","AB_1047S_GSS","N/A","Generation","N/A","ATCO Electric Ltd.","6","53.524118","62","-116.595700","62","938","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Watson Creek 104S","13","AB_104S_DSS","N/A","Distribution","N/A","Altalink Management Ltd.","6","53.276909","62","-117.743930","62","1106","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Holsom 1054S","13","AB_1054S_GSS","N/A","Generation","N/A","Altalink Management Ltd.","6","49.943929","62","-111.051684","62","818","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Sollair 1055S","13","AB_1055S_GSS","N/A","Generation","N/A","Altalink Management Ltd.","6","51.334353","62","-113.989163","62","1121","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Sollair 1055S JCT","13","AB_1055S_JCT","N/A","Junction","N/A","Altalink Management Ltd.","6","51.334352","62","-113.989877","62","1121","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Bilby 105S","13","AB_105S_DSS","N/A","Distribution","N/A","Altalink Management Ltd.","6","53.556955","62","-114.007614","62","701","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Bilby 105S JCT","13","AB_105S_JCT","N/A","Junction","N/A","Altalink Management Ltd.","6","53.556046","62","-114.001764","62","701","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Windrise 1063S","13","AB_1063S_GSS","N/A","Generation","N/A","Altalink Management Ltd.","6","49.489432","62","-113.454586","62","1131","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Paddle River 106S","13","AB_106S_DSS","N/A","Distribution","N/A","Altalink Management Ltd.","6","53.600612","62","-115.448577","62","812","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Paddle River 106S JCT","13","AB_106S_JCT","N/A","Junction","N/A","Altalink Management Ltd.","6","53.599498","62","-115.448674","62","826","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
"Enterprise 1070S","13","AB_1070S_GSS","N/A","Generation","N/A","Altalink Management Ltd.","6","50.368700","62","-113.340810","62","1069","181","AB","N/A","Alberta","N/A","Alberta.a","N/A","NULL","N/A"
