transmission_line_id,transmission_line_id_source,transmission_circuit_id,transmission_circuit_id_source,owner,owner_source,province,province_source,operating_region,operating_region_source,number_of_circuits,number_of_circuits_source,current_type,current_type_source,line_segment_length_km,line_segment_length_km_source,line_segment_length_mi,line_segment_length_mi_source,line_length_km,line_length_km_source,line_length_mi,line_length_mi_source,voltage,voltage_source,Transmission_Line_Reactance,Transmission_Line_Reactance_source,Transmission_Line_Segment_Reactance,Transmission_Line_Segment_Reactance_source,ttc_summer,ttc_summer_source,ttc_winter,ttc_winter_source,network_node_name_starting,network_node_name_starting_source,network_node_code_starting,network_node_code_starting_source,network_node_name_ending,network_node_name_ending_source,network_node_code_ending,network_node_code_ending_source,notes,notes_source
"34649","B3N","CD11","78","Cedar Rapids Transmission Co. Ltd.","78","QC","N/A","Quebec","N/A","1","78","ac","78","31.700","Single references: ['HONI. 2014. 2015/2016 Transmission Revenue Requirements and Rate Settlement EB-2014-0140 - Tab 11 Association of Major Power Producers of Ontario APPrO']","19.568","Single references: ['HONI. 2014. 2015/2016 Transmission Revenue Requirements and Rate Settlement EB-2014-0140 - Tab 11 Association of Major Power Producers of Ontario APPrO']","43.070","Single references: ['HONI. 2014. 2015/2016 Transmission Revenue Requirements and Rate Settlement EB-2014-0140 - Tab 11 Association of Major Power Producers of Ontario APPrO']","26.586","Single references: ['HONI. 2014. 2015/2016 Transmission Revenue Requirements and Rate Settlement EB-2014-0140 - Tab 11 Association of Major Power Producers of Ontario APPrO']","230","247","20.67","Estimated","15.22","Estimated","325","Estimated","325","Estimated","Boundary Road TS JCT","78","ON_BDY_JCT","N/A","IPT Dennison 1","78","ON_ONQC01_IPT","N/A","Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV","N/A"
"34650","B3N","CD11","78","Cedar Rapids Transmission Co. Ltd.","78","QC","N/A","Quebec","N/A","1","78","ac","78","0.050","Single references: ['HONI. 2014. 2015/2016 Transmission Revenue Requirements and Rate Settlement EB-2014-0140 - Tab 11 Association of Major Power Producers of Ontario APPrO']","0.031","Single references: ['HONI. 2014. 2015/2016 Transmission Revenue Requirements and Rate Settlement EB-2014-0140 - Tab 11 Association of Major Power Producers of Ontario APPrO']","43.070","Single references: ['HONI. 2014. 2015/2016 Transmission Revenue Requirements and Rate Settlement EB-2014-0140 - Tab 11 Association of Major Power Producers of Ontario APPrO']","26.586","Single references: ['HONI. 2014. 2015/2016 Transmission Revenue Requirements and Rate Settlement EB-2014-0140 - Tab 11 Association of Major Power Producers of Ontario APPrO']","230","247","20.67","Estimated","0.02","Estimated","325","Estimated","325","Estimated","Boundary Road TS JCT","78","ON_BDY_JCT","N/A","Boundary Road TS","78","ON_BDY_DSS","N/A","Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV","N/A"
"34651","B3N","CD11","78","Cedar Rapids Transmission Co. Ltd.","78","QC","N/A","Quebec","N/A","1","78","ac","78","6.700","Single references: ['HONI. 2014. 2015/2016 Transmission Revenue Requirements and Rate Settlement EB-2014-0140 - Tab 11 Association of Major Power Producers of Ontario APPrO']","4.136","Single references: ['HONI. 2014. 2015/2016 Transmission Revenue Requirements and Rate Settlement EB-2014-0140 - Tab 11 Association of Major Power Producers of Ontario APPrO']","43.070","Single references: ['HONI. 2014. 2015/2016 Transmission Revenue Requirements and Rate Settlement EB-2014-0140 - Tab 11 Association of Major Power Producers of Ontario APPrO']","26.586","Single references: ['HONI. 2014. 2015/2016 Transmission Revenue Requirements and Rate Settlement EB-2014-0140 - Tab 11 Association of Major Power Producers of Ontario APPrO']","230","247","20.67","Estimated","3.22","Estimated","325","Estimated","325","Estimated","Boundary Road TS JCT","78","ON_BDY_JCT","N/A","Cornwall TS JCT","78","ON_CWL_JCT","N/A","Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV","N/A"
"34652","B3N","CD11","78","Cedar Rapids Transmission Co. Ltd.","78","QC","N/A","Quebec","N/A","1","78","ac","78","0.620","Single references: ['HONI. 2014. 2015/2016 Transmission Revenue Requirements and Rate Settlement EB-2014-0140 - Tab 11 Association of Major Power Producers of Ontario APPrO']","0.383","Single references: ['HONI. 2014. 2015/2016 Transmission Revenue Requirements and Rate Settlement EB-2014-0140 - Tab 11 Association of Major Power Producers of Ontario APPrO']","43.070","Single references: ['HONI. 2014. 2015/2016 Transmission Revenue Requirements and Rate Settlement EB-2014-0140 - Tab 11 Association of Major Power Producers of Ontario APPrO']","26.586","Single references: ['HONI. 2014. 2015/2016 Transmission Revenue Requirements and Rate Settlement EB-2014-0140 - Tab 11 Association of Major Power Producers of Ontario APPrO']","230","247","20.67","Estimated","0.30","Estimated","325","37","325","37","Cornwall TS JCT","78","ON_CWL_JCT","N/A","Cornwall TS","78","ON_CWL_DSS","N/A","Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV","N/A"
"34653","B4","CD11","78","Cedar Rapids Transmission Co. Ltd.","78","QC","N/A","Quebec","N/A","1","78","ac","78","4.000","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","2.469","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","43.070","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","26.586","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","230","247","20.67","Estimated","1.92","Estimated","325","Estimated","325","Estimated","Cornwall TS JCT","78","ON_CWL_JCT","N/A","INT Cornwall Massena 1","78","ON_ONUS14_INT","N/A","Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV","N/A"
"34654","B4","CD22","78","Cedar Rapids Transmission Co. Ltd.","78","QC","N/A","Quebec","N/A","1","78","ac","78","31.700","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","19.568","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","43.070","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","26.586","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","230","247","20.67","Estimated","15.22","Estimated","325","Estimated","325","Estimated","Boundary Road TS JCT","78","ON_BDY_JCT","N/A","IPT Dennison 2","78","ON_ONQC02_IPT","N/A","Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV","N/A"
"34655","B4","CD22","78","Cedar Rapids Transmission Co. Ltd.","78","QC","N/A","Quebec","N/A","1","78","ac","78","0.050","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","0.031","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","43.070","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","26.586","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","230","247","20.67","Estimated","0.02","Estimated","325","Estimated","325","Estimated","Boundary Road TS JCT","78","ON_BDY_JCT","N/A","Boundary Road TS","78","ON_BDY_DSS","N/A","Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV","N/A"
"34656","B4","CD22","78","Cedar Rapids Transmission Co. Ltd.","78","QC","N/A","Quebec","N/A","1","78","ac","78","6.700","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","4.136","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","43.070","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","26.586","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","230","247","20.67","Estimated","3.22","Estimated","325","Estimated","325","Estimated","Boundary Road TS JCT","78","ON_BDY_JCT","N/A","Cornwall TS JCT","78","ON_CWL_JCT","N/A","Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV","N/A"
"34657","B4","CD22","78","Cedar Rapids Transmission Co. Ltd.","78","QC","N/A","Quebec","N/A","1","78","ac","78","0.620","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","0.383","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","43.070","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","26.586","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","230","247","20.67","Estimated","0.30","Estimated","325","Estimated","325","Estimated","Cornwall TS JCT","78","ON_CWL_JCT","N/A","Cornwall TS","78","ON_CWL_DSS","N/A","Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV","N/A"
"34658","B4","CD22","78","Cedar Rapids Transmission Co. Ltd.","78","QC","N/A","Quebec","N/A","1","78","ac","78","4.000","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","2.469","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","43.070","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","26.586","Single references: ['Hydro One. 2019. Burlington to Nanticoke Regional Infrastructure Plan.; Hydro One. 2013. Guelph Area Transmission Refurbishment Project - Application and Evidence Update Filing']","230","247","20.67","Estimated","1.92","Estimated","325","Estimated","325","Estimated","Cornwall TS JCT","78","ON_CWL_JCT","N/A","INT Cornwall Massena 2","78","ON_ONUS15_INT","N/A","Provides electricity to Cornwall, Ontario before exporting to New York State; operates at 120 kV","N/A"
