node_name,node_name_source,node_code,node_code_source,node_type,node_type_source,owner,owner_source,latitude,latitude_source,longitude,longitude_source,elevation,elevation_source,province,province_source,operating_region,operating_region_source,copper_balancing_area,copper_balancing_area_source,notes,notes_source
Arthur-Buies,API,QC_ARB_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.805406,API,-74.008064,API,116,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Argonal Inc.,API,QC_ARG_ISS,API,Industrial,API,Hydro QuÃ©bec,API,45.826575,API,-73.269309,API,18,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Arnaud,API,QC_ARN_TSS,API,Terminal,API,Hydro QuÃ©bec,API,50.194081,API,-66.591450,API,68,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Arthabaska,API,QC_ART_DSS,API,Distribution,API,Hydro QuÃ©bec,API,46.005375,API,-71.947296,API,186,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Arthabaska JCT,API,QC_ART_JCT,API,Junction,API,Hydro QuÃ©bec,API,45.990040,API,-71.979416,API,128,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Asbestos,API,QC_ASB_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.784199,API,-71.942244,API,172,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Asbestos JCT,API,QC_ASB_JCT,API,Junction,API,Hydro QuÃ©bec,API,45.799128,API,-72.037922,API,144,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Atwater,API,QC_ATW_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.473715,API,-73.571402,API,18,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Axiall Canada Inc.,API,QC_AXC_ISS,API,Industrial,API,Hydro QuÃ©bec,API,45.310598,API,-73.887115,API,37,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Axiall Canada Inc. JCT,API,QC_AXC_JCT,API,Industrial,API,Hydro QuÃ©bec,API,45.309243,API,-73.898681,API,37,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Baie-TrinitÃ©,API,QC_BAT_DSS,API,Distribution,API,Hydro QuÃ©bec,API,49.409588,API,-67.359681,API,56,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Baie dUrfÃ©,API,QC_BAU_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.419299,API,-73.920506,API,37,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Beauceville-Est,API,QC_BCE_DSS,API,Distribution,API,Hydro QuÃ©bec,API,46.209066,API,-70.769844,API,190,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Boucherville,API,QC_BCH_TSS,API,Terminal,API,Hydro QuÃ©bec,API,45.600886,API,-73.365317,API,26,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Beauceville,API,QC_BCV_TSS,API,Terminal,API,Hydro QuÃ©bec,API,46.224455,API,-70.795311,API,157,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Bout-de-lÃŽle,API,QC_BDI_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.664822,API,-73.525004,API,27,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Baie-des-Sables,API,QC_BDS_GSS,API,Generation,API,Hydro QuÃ©bec,API,48.706515,API,-67.884087,API,91,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Baie-des-Sables JCT,API,QC_BDS_JCT,API,Junction,API,Hydro QuÃ©bec,API,48.681723,API,-67.952979,API,73,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
BÃ©cancour GS,API,QC_BEC_GSS,API,Generation,API,Hydro QuÃ©bec,API,46.392484,API,-72.352370,API,24,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
BÃ©cancour,API,QC_BEC_TSS,API,Terminal,API,Hydro QuÃ©bec,API,46.363478,API,-72.373532,API,27,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Bedford,API,QC_BED_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.134608,API,-72.962896,API,66,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Beauharnois-Est,API,QC_BEE_GSS,API,Generation,API,Hydro QuÃ©bec,API,45.312557,API,-73.902455,API,36,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
BÃ©langer JCT,API,QC_BEL_JCT,API,Junction,API,Hydro QuÃ©bec,API,45.591250,API,-73.621934,API,33,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
BÃ©langer,API,QC_BEL_TSS,API,Terminal,API,Hydro QuÃ©bec,API,45.571621,API,-73.584014,API,50,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
